{'timestamp': 1546762939.883275, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=0.08, load10=2.61, load15=4.1, running=1, procs=511), 'memory/total': Memory(label='total', total=1501952, used=583276, buffer_cache=134504, free=784172, map=53344)}
{'timestamp': 1546762939.888624, 'hostname': 'hadoop2', 'proc': Proc(label='total', load5=0.02, load10=2.05, load15=3.58, running=1, procs=513), 'memory/total': Memory(label='total', total=1501952, used=591604, buffer_cache=124956, free=785392, map=54128)}
{'disk/total': Disk(label='sda', io_read=391, bytes_read=2514944, time_spent_read=1.2959999999984575, io_write=6, bytes_write=167936, time_spent_write=0.0), 'net/total': Network(label='ens33', recv_bytes=387682, recv_packets=373, recv_errs=0, recv_drop=0, send_bytes=457604, send_packets=388, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=1.6227180527383367, nice=0.0, system=2.231237322515213, idle=77.48478701825557, iowait=18.45841784989858, irq=0.0, softirq=0.2028397565922921), 'cpu/cpu0': CPU(label='cpu0', user=1.6227180527383367, nice=0.0, system=2.231237322515213, idle=77.48478701825557, iowait=18.45841784989858, irq=0.0, softirq=0.2028397565922921), 'disk/sda': Disk(label='sda', io_read=391, bytes_read=2514944, time_spent_read=1.2959999999984575, io_write=6, bytes_write=167936, time_spent_write=0.0), 'timestamp': 1546762944.871604, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=0.07, load10=2.57, load15=4.08, running=2, procs=517), 'memory/total': Memory(label='total', total=1501952, used=587060, buffer_cache=135224, free=779668, map=53408), 'net/ens33': Network(label='ens33', recv_bytes=387682, recv_packets=373, recv_errs=0, recv_drop=0, send_bytes=457604, send_packets=388, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=19, bytes_read=233472, time_spent_read=0.3359999999993306, io_write=2, bytes_write=131072, time_spent_write=0.0), 'net/total': Network(label='ens33', recv_bytes=37300, recv_packets=79, recv_errs=0, recv_drop=0, send_bytes=12049, send_packets=79, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=93.41317365269461, nice=0.0, system=6.387225548902196, idle=0.0, iowait=0.0, irq=0.0, softirq=0.1996007984031936), 'cpu/cpu0': CPU(label='cpu0', user=93.41317365269461, nice=0.0, system=6.387225548902196, idle=0.0, iowait=0.0, irq=0.0, softirq=0.1996007984031936), 'disk/sda': Disk(label='sda', io_read=19, bytes_read=233472, time_spent_read=0.3359999999993306, io_write=2, bytes_write=131072, time_spent_write=0.0), 'timestamp': 1546762969.924414, 'hostname': 'hadoop2', 'proc': Proc(label='total', load5=4.0, load10=2.72, load15=3.75, running=18, procs=651), 'memory/total': Memory(label='total', total=1501952, used=1074756, buffer_cache=126628, free=300568, map=65100), 'net/ens33': Network(label='ens33', recv_bytes=37300, recv_packets=79, recv_errs=0, recv_drop=0, send_bytes=12049, send_packets=79, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=35, bytes_read=192512, time_spent_read=0.7200000000011642, io_write=7, bytes_write=290816, time_spent_write=0.004000000000814907), 'net/total': Network(label='ens33', recv_bytes=27087, recv_packets=179, recv_errs=0, recv_drop=0, send_bytes=61418, send_packets=193, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=95.40918163672654, nice=0.0, system=4.391217564870259, idle=0.0, iowait=0.0, irq=0.0, softirq=0.1996007984031936), 'cpu/cpu0': CPU(label='cpu0', user=95.40918163672654, nice=0.0, system=4.391217564870259, idle=0.0, iowait=0.0, irq=0.0, softirq=0.1996007984031936), 'disk/sda': Disk(label='sda', io_read=35, bytes_read=192512, time_spent_read=0.7200000000011642, io_write=7, bytes_write=290816, time_spent_write=0.004000000000814907), 'timestamp': 1546762974.812466, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=3.85, load10=3.2, load15=4.24, running=16, procs=717), 'memory/total': Memory(label='total', total=1501952, used=1041648, buffer_cache=143136, free=317168, map=64384), 'net/ens33': Network(label='ens33', recv_bytes=27087, recv_packets=179, recv_errs=0, recv_drop=0, send_bytes=61418, send_packets=193, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=31, bytes_read=266240, time_spent_read=0.5240000000012515, io_write=12, bytes_write=475136, time_spent_write=0.9120000000038999), 'net/total': Network(label='ens33', recv_bytes=33665, recv_packets=129, recv_errs=0, recv_drop=0, send_bytes=30105, send_packets=165, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=92.61477045908184, nice=0.0, system=7.385229540918163, idle=0.0, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=92.61477045908184, nice=0.0, system=7.385229540918163, idle=0.0, iowait=0.0, irq=0.0, softirq=0.0), 'disk/sda': Disk(label='sda', io_read=31, bytes_read=266240, time_spent_read=0.5240000000012515, io_write=12, bytes_write=475136, time_spent_write=0.9120000000038999), 'timestamp': 1546762974.93106, 'hostname': 'hadoop2', 'proc': Proc(label='total', load5=5.04, load10=2.96, load15=3.82, running=14, procs=655), 'memory/total': Memory(label='total', total=1501952, used=1058648, buffer_cache=126772, free=316532, map=65100), 'net/ens33': Network(label='ens33', recv_bytes=33665, recv_packets=129, recv_errs=0, recv_drop=0, send_bytes=30105, send_packets=165, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=38, bytes_read=258048, time_spent_read=0.679999999998472, io_write=79, bytes_write=1544192, time_spent_write=0.5040000000008149), 'net/total': Network(label='ens33', recv_bytes=22057, recv_packets=151, recv_errs=0, recv_drop=0, send_bytes=79117, send_packets=186, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=91.81636726546907, nice=0.0, system=7.984031936127744, idle=0.0, iowait=0.0, irq=0.0, softirq=0.1996007984031936), 'cpu/cpu0': CPU(label='cpu0', user=91.81636726546907, nice=0.0, system=7.984031936127744, idle=0.0, iowait=0.0, irq=0.0, softirq=0.1996007984031936), 'disk/sda': Disk(label='sda', io_read=38, bytes_read=258048, time_spent_read=0.679999999998472, io_write=79, bytes_write=1544192, time_spent_write=0.5040000000008149), 'timestamp': 1546762979.801472, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=4.83, load10=3.41, load15=4.3, running=15, procs=701), 'memory/total': Memory(label='total', total=1501952, used=990908, buffer_cache=142964, free=368080, map=64344), 'net/ens33': Network(label='ens33', recv_bytes=22057, recv_packets=151, recv_errs=0, recv_drop=0, send_bytes=79117, send_packets=186, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=3, bytes_read=36864, time_spent_read=0.06799999999930151, io_write=4, bytes_write=360448, time_spent_write=0.0), 'net/total': Network(label='ens33', recv_bytes=38993, recv_packets=115, recv_errs=0, recv_drop=0, send_bytes=23837, send_packets=129, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=93.8, nice=0.0, system=6.2, idle=0.0, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=93.8, nice=0.0, system=6.2, idle=0.0, iowait=0.0, irq=0.0, softirq=0.0), 'disk/sda': Disk(label='sda', io_read=3, bytes_read=36864, time_spent_read=0.06799999999930151, io_write=4, bytes_write=360448, time_spent_write=0.0), 'timestamp': 1546762979.934786, 'hostname': 'hadoop2', 'proc': Proc(label='total', load5=6.08, load10=3.21, load15=3.9, running=14, procs=657), 'memory/total': Memory(label='total', total=1501952, used=1047628, buffer_cache=127100, free=327224, map=65068), 'net/ens33': Network(label='ens33', recv_bytes=38993, recv_packets=115, recv_errs=0, recv_drop=0, send_bytes=23837, send_packets=129, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=27, bytes_read=176128, time_spent_read=0.1959999999999127, io_write=7, bytes_write=716800, time_spent_write=0.0), 'net/total': Network(label='ens33', recv_bytes=35962, recv_packets=143, recv_errs=0, recv_drop=0, send_bytes=33228, send_packets=182, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=93.6, nice=0.0, system=6.4, idle=0.0, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=93.6, nice=0.0, system=6.4, idle=0.0, iowait=0.0, irq=0.0, softirq=0.0), 'disk/sda': Disk(label='sda', io_read=27, bytes_read=176128, time_spent_read=0.1959999999999127, io_write=7, bytes_write=716800, time_spent_write=0.0), 'timestamp': 1546762984.944272, 'hostname': 'hadoop2', 'proc': Proc(label='total', load5=6.63, load10=3.37, load15=3.95, running=11, procs=693), 'memory/total': Memory(label='total', total=1501952, used=1113612, buffer_cache=127228, free=261112, map=65100), 'net/ens33': Network(label='ens33', recv_bytes=35962, recv_packets=143, recv_errs=0, recv_drop=0, send_bytes=33228, send_packets=182, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=167, bytes_read=1036288, time_spent_read=1.316000000000713, io_write=6, bytes_write=520192, time_spent_write=0.15200000000186265), 'net/total': Network(label='ens33', recv_bytes=21721, recv_packets=156, recv_errs=0, recv_drop=0, send_bytes=58343, send_packets=159, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=91.6, nice=0.0, system=8.0, idle=0.0, iowait=0.0, irq=0.0, softirq=0.4), 'cpu/cpu0': CPU(label='cpu0', user=91.6, nice=0.0, system=8.0, idle=0.0, iowait=0.0, irq=0.0, softirq=0.4), 'disk/sda': Disk(label='sda', io_read=167, bytes_read=1036288, time_spent_read=1.316000000000713, io_write=6, bytes_write=520192, time_spent_write=0.15200000000186265), 'timestamp': 1546762984.944187, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=5.32, load10=3.54, load15=4.33, running=8, procs=680), 'memory/total': Memory(label='total', total=1501952, used=910680, buffer_cache=143612, free=447660, map=64304), 'net/ens33': Network(label='ens33', recv_bytes=21721, recv_packets=156, recv_errs=0, recv_drop=0, send_bytes=58343, send_packets=159, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=18, bytes_read=102400, time_spent_read=0.5, io_write=4, bytes_write=237568, time_spent_write=0.004000000000814907), 'net/total': Network(label='ens33', recv_bytes=43922, recv_packets=227, recv_errs=0, recv_drop=0, send_bytes=124164, send_packets=228, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=93.2, nice=0.0, system=6.6, idle=0.0, iowait=0.0, irq=0.0, softirq=0.2), 'cpu/cpu0': CPU(label='cpu0', user=93.2, nice=0.0, system=6.6, idle=0.0, iowait=0.0, irq=0.0, softirq=0.2), 'disk/sda': Disk(label='sda', io_read=18, bytes_read=102400, time_spent_read=0.5, io_write=4, bytes_write=237568, time_spent_write=0.004000000000814907), 'timestamp': 1546762989.795286, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=5.78, load10=3.66, load15=4.37, running=16, procs=709), 'memory/total': Memory(label='total', total=1501952, used=1013152, buffer_cache=143928, free=344872, map=64380), 'net/ens33': Network(label='ens33', recv_bytes=43922, recv_packets=227, recv_errs=0, recv_drop=0, send_bytes=124164, send_packets=228, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=22, bytes_read=155648, time_spent_read=0.5560000000004948, io_write=55, bytes_write=712704, time_spent_write=0.0639999999984866), 'net/total': Network(label='ens33', recv_bytes=74101, recv_packets=232, recv_errs=0, recv_drop=0, send_bytes=59930, send_packets=284, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=90.41916167664671, nice=0.0, system=9.181636726546905, idle=0.0, iowait=0.0, irq=0.0, softirq=0.3992015968063872), 'cpu/cpu0': CPU(label='cpu0', user=90.41916167664671, nice=0.0, system=9.181636726546905, idle=0.0, iowait=0.0, irq=0.0, softirq=0.3992015968063872), 'disk/sda': Disk(label='sda', io_read=22, bytes_read=155648, time_spent_read=0.5560000000004948, io_write=55, bytes_write=712704, time_spent_write=0.0639999999984866), 'timestamp': 1546762989.944112, 'hostname': 'hadoop2', 'proc': Proc(label='total', load5=6.74, load10=3.45, load15=3.97, running=13, procs=587), 'memory/total': Memory(label='total', total=1501952, used=730380, buffer_cache=126496, free=645076, map=64812), 'net/ens33': Network(label='ens33', recv_bytes=74101, recv_packets=232, recv_errs=0, recv_drop=0, send_bytes=59930, send_packets=284, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=8, bytes_read=32768, time_spent_read=0.44800000000032014, io_write=6, bytes_write=262144, time_spent_write=0.0), 'net/total': Network(label='ens33', recv_bytes=11896, recv_packets=86, recv_errs=0, recv_drop=0, send_bytes=61023, send_packets=122, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=93.812375249501, nice=0.0, system=6.187624750499002, idle=0.0, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=93.812375249501, nice=0.0, system=6.187624750499002, idle=0.0, iowait=0.0, irq=0.0, softirq=0.0), 'disk/sda': Disk(label='sda', io_read=8, bytes_read=32768, time_spent_read=0.44800000000032014, io_write=6, bytes_write=262144, time_spent_write=0.0), 'timestamp': 1546762994.795488, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=6.43, load10=3.83, load15=4.42, running=14, procs=702), 'memory/total': Memory(label='total', total=1501952, used=1033248, buffer_cache=143880, free=324824, map=64380), 'net/ens33': Network(label='ens33', recv_bytes=11896, recv_packets=86, recv_errs=0, recv_drop=0, send_bytes=61023, send_packets=122, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=0, bytes_read=0, time_spent_read=0.0, io_write=5, bytes_write=360448, time_spent_write=0.004000000000814907), 'net/total': Network(label='ens33', recv_bytes=27015, recv_packets=52, recv_errs=0, recv_drop=0, send_bytes=8342, send_packets=47, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=92.81437125748504, nice=0.0, system=6.986027944111776, idle=0.0, iowait=0.0, irq=0.0, softirq=0.1996007984031936), 'cpu/cpu0': CPU(label='cpu0', user=92.81437125748504, nice=0.0, system=6.986027944111776, idle=0.0, iowait=0.0, irq=0.0, softirq=0.1996007984031936), 'disk/sda': Disk(label='sda', io_read=0, bytes_read=0, time_spent_read=0.0, io_write=5, bytes_write=360448, time_spent_write=0.004000000000814907), 'timestamp': 1546762994.950758, 'hostname': 'hadoop2', 'proc': Proc(label='total', load5=7.24, load10=3.6, load15=4.02, running=20, procs=637), 'memory/total': Memory(label='total', total=1501952, used=903248, buffer_cache=126960, free=471744, map=65048), 'net/ens33': Network(label='ens33', recv_bytes=27015, recv_packets=52, recv_errs=0, recv_drop=0, send_bytes=8342, send_packets=47, send_errs=0, send_drop=0)}
